Date,Type,Category,Amount,Description,Notes
2026-05-01,income,Salary,3500.00,Monthly salary,
2026-05-01,expense,Housing,1200.00,Monthly rent,
2026-05-01,expense,Subscriptions,13.99,Netflix,
2026-05-01,expense,Subscriptions,9.99,Spotify,
2026-05-03,expense,Groceries,72.50,Weekly groceries,
2026-05-04,expense,Food & Dining,28.50,Restaurant dinner,Dinner with friends
2026-05-05,expense,Utilities,115.00,Electricity bill,
2026-05-05,expense,Utilities,62.00,Internet bill,
2026-05-06,expense,Transport,45.00,Gas station,
2026-05-08,expense,Food & Dining,5.75,Coffee shop,
2026-05-10,income,Freelance,450.00,Web design project,
2026-05-10,expense,Groceries,58.30,Supermarket run,
2026-05-12,expense,Transport,18.50,Uber ride,
2026-05-13,expense,Entertainment,24.00,Movie tickets,
2026-05-15,expense,Food & Dining,15.80,Fast food lunch,
2026-05-17,expense,Groceries,83.40,Weekly groceries,
2026-05-18,expense,Shopping,65.00,Clothes shopping,
2026-05-19,expense,Transport,52.00,Gas station,
2026-05-20,income,Investments,85.00,Dividend payout,
2026-05-21,expense,Health,45.00,Gym membership,
2026-05-22,expense,Food & Dining,42.00,Brunch with friends,
2026-05-24,expense,Groceries,67.90,Weekly groceries,
2026-05-25,expense,Entertainment,15.99,Streaming subscription,
2026-05-26,expense,Transport,12.00,Parking fee,
2026-05-27,income,Freelance,300.00,Logo design,
2026-05-28,expense,Food & Dining,22.00,Takeout order,
2026-05-29,expense,Shopping,120.00,Electronics,
2026-05-30,expense,Other,25.00,Gift for friend,
2026-06-01,income,Salary,3550.00,Monthly salary,
2026-06-01,expense,Housing,1200.00,Monthly rent,
2026-06-01,expense,Subscriptions,13.99,Netflix,
2026-06-01,expense,Subscriptions,9.99,Spotify,
2026-06-02,expense,Groceries,81.20,Weekly groceries,
2026-06-03,expense,Food & Dining,35.00,Restaurant dinner,
2026-06-04,expense,Utilities,128.00,Electricity bill,
2026-06-04,expense,Utilities,62.00,Internet bill,
2026-06-05,expense,Transport,55.00,Gas station,
2026-06-07,expense,Food & Dining,6.50,Coffee shop,
2026-06-08,expense,Groceries,64.80,Supermarket run,
2026-06-10,income,Freelance,600.00,Consulting hours,
2026-06-11,expense,Transport,22.00,Uber ride,
2026-06-12,expense,Entertainment,85.00,Concert tickets,
2026-06-14,expense,Food & Dining,18.50,Fast food lunch,
2026-06-15,expense,Groceries,76.50,Weekly groceries,
2026-06-16,expense,Health,30.00,Pharmacy,
2026-06-17,expense,Shopping,95.00,Shoes,
2026-06-18,expense,Transport,48.00,Gas station,
2026-06-19,income,Investments,120.00,Dividend payout,
2026-06-20,expense,Food & Dining,55.00,Brunch with friends,
2026-06-22,expense,Groceries,59.70,Weekly groceries,
2026-06-23,expense,Subscriptions,4.99,Cloud storage,
2026-06-24,expense,Transport,10.00,Parking fee,
2026-06-25,income,Freelance,250.00,Logo design,
2026-06-26,expense,Food & Dining,28.00,Takeout order,
2026-06-27,expense,Education,35.00,Books,
2026-06-28,expense,Entertainment,40.00,Bowling night,
2026-06-29,expense,Other,15.00,Miscellaneous,
2026-06-30,expense,Utilities,45.00,Water bill,
2026-07-01,income,Salary,3500.00,Monthly salary,
2026-07-01,expense,Housing,1200.00,Monthly rent,
2026-07-01,expense,Subscriptions,13.99,Netflix,
2026-07-01,expense,Subscriptions,9.99,Spotify,
2026-07-02,expense,Groceries,78.90,Weekly groceries,
